route,vehicle_id,route_type,collection_material,date
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-17
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-17
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-17
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-17
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-17
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-17
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-17
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-17
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-17
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-17
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-17
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-17
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-17
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-17
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-17
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-17
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-17
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-17
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-17
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-17
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-17
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-17
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-17
Side Loader,XE-5748H,Side Loader,recycle,2020-10-17
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-17
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-17
Salesforce Case,YQ-2237K,,,2020-10-17
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-18
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-18
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-18
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-18
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-18
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-18
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-18
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-18
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-18
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-18
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-18
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-18
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-18
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-18
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-18
Mechanic / Spare Vehicle XE-5640J,XE-5640J,JS-REL,waste,2020-10-18
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-18
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-18
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-18
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-18
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-18
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-18
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-18
Side Loader,XE-5748H,Side Loader,recycle,2020-10-18
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-18
Salesforce Case,YQ-2237K,,,2020-10-18
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-19
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-19
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-19
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-19
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-19
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-19
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-19
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-19
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-19
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-19
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-19
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-19
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-19
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-19
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-19
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-19
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-19
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-19
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-19
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-19
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-19
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-19
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-19
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-19
Side Loader,XE-5748H,Side Loader,recycle,2020-10-19
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-19
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-19
Salesforce Case,YQ-2237K,,,2020-10-19
Salesforce Case & RVM,YQ-2237K,,,2020-10-19
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-20
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-20
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-20
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-20
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-20
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-20
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-20
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-20
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-20
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-20
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-20
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-20
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-20
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-20
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-20
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-20
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-20
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-20
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-20
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-20
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-20
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-20
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-20
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-20
Side Loader,XE-5748H,Side Loader,recycle,2020-10-20
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-20
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-20
Salesforce Case,YQ-2237K,,,2020-10-20
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-21
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-21
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-21
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-21
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-21
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-21
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-21
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-21
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-21
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-21
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-21
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-21
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-21
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-21
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-21
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-21
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-21
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-21
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-21
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-21
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-21
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-21
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-21
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-21
Side Loader,XE-5748H,Side Loader,recycle,2020-10-21
Dispose damaged bins to Rebond,YQ-2237K,,,2020-10-21
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-21
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-21
Salesforce Case,YQ-2237K,,,2020-10-21
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-22
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-22
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-22
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-22
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-22
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-22
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-22
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-22
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-22
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-22
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-22
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-22
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-22
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-22
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-22
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-22
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-22
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-22
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-22
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-22
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-22
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-22
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-22
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-22
Side Loader,XE-5748H,Side Loader,recycle,2020-10-22
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-22
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-22
Salesforce Case,YQ-2237K,,,2020-10-22
Salesforce Case & RVM,YQ-2237K,,,2020-10-22
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-23
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-23
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-23
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-23
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-23
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-23
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-23
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-23
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-23
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-23
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-23
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-23
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-23
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-23
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-23
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-23
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-23
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-23
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-23
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-23
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-23
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-23
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-23
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-23
Side Loader,XE-5748H,Side Loader,recycle,2020-10-23
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-23
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-23
Salesforce Case,YQ-2237K,,,2020-10-23
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-24
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-24
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-24
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-24
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-24
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-24
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-24
JS-REL 3,XE-5705G,JS-REL,waste,2020-10-24
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-24
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-24
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-24
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-24
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-24
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-24
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-24
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-24
Mechanic / Spare Vehicle XE-5632H,XE-5632H,JS-REL,waste,2020-10-24
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-24
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-24
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-24
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-24
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-24
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-24
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-24
Side Loader,XE-5748H,Side Loader,recycle,2020-10-24
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-24
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-24
Salesforce Case,YQ-2237K,,,2020-10-24
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-25
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-25
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-25
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-25
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-25
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-25
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-25
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-25
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-25
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-25
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-25
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-25
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-25
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-25
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-25
Mechanic / Spare Vehicle XE-5640J,XE-5640J,JS-REL,waste,2020-10-25
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-25
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-25
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-25
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-25
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-25
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-25
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-25
Side Loader,XE-5748H,Side Loader,recycle,2020-10-25
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-25
Salesforce Case,YQ-2237K,,,2020-10-25
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-26
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-26
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-26
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-26
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-26
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-26
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-26
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-26
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-26
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-26
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-26
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-26
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-26
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-26
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-26
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-26
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-26
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-26
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-26
JS-RFID,XE-5565T,JS-Recycle,recycle,2020-10-26
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-26
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-26
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-26
Side Loader,XE-5748H,Side Loader,recycle,2020-10-26
Garden Waste & RVM,YQ-2237K,,,2020-10-26
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-26
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-26
Salesforce Case,YQ-2237K,,,2020-10-26
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-27
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-27
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-27
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-27
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-27
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-27
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-27
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-27
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-27
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-27
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-27
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-27
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-27
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-27
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-27
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-27
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-27
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-27
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-27
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-27
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-27
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-27
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-27
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-27
Side Loader,XE-5748H,Side Loader,recycle,2020-10-27
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-27
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-27
Salesforce Case,YQ-2237K,,,2020-10-27
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-28
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-28
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-28
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-28
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-28
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-28
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-28
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-28
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-28
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-28
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-28
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-28
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-28
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-28
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-28
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-28
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-28
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-28
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-28
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-28
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-28
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-28
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-28
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-28
Side Loader,XE-5748H,Side Loader,recycle,2020-10-28
Dispose damaged bins to Rebond,YQ-2237K,,,2020-10-28
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-28
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-28
Salesforce Case,YQ-2237K,,,2020-10-28
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-29
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-29
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-29
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-29
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-29
JS-REL 10,XE-5610X,JS-REL,waste,2020-10-29
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-29
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-29
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-29
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-29
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-29
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-29
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-29
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-29
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-29
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-29
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-29
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-29
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-29
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-29
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-29
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-29
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-29
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-29
Side Loader,XE-5748H,Side Loader,recycle,2020-10-29
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-29
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-29
Salesforce Case,YQ-2237K,,,2020-10-29
Salesforce Case & RVM,YQ-2237K,,,2020-10-29
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-30
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-30
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-30
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-30
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-30
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-30
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-30
JS-REL 3,XE-5632H,JS-REL,waste,2020-10-30
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-30
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-30
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-30
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-30
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-30
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-30
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-30
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-30
Mechanic / Spare Vehicle XE-5705G,XE-5705G,JS-REL,waste,2020-10-30
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-30
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-30
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-30
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-30
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-30
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-30
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-30
Side Loader,XE-5748H,Side Loader,recycle,2020-10-30
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-30
Mechanic / Spare Vehicle XE-5763M,XE-5763M,,,2020-10-30
Salesforce Case,YQ-2237K,,,2020-10-30
JS-HL 1,XE-5602U,JS-HL,waste,2020-10-31
JS-HL 2,XE-5701S,JS-HL,waste,2020-10-31
JS-HL 3,XE-5645X,JS-HL,waste,2020-10-31
JS-HL 4,XE-5672S,JS-HL,waste,2020-10-31
JS-REL 1,XE-5628X,JS-REL,waste,2020-10-31
JS-REL 10,XE-5640J,JS-REL,waste,2020-10-31
JS-REL 2,XE-5612R,JS-REL,waste,2020-10-31
JS-REL 3,XE-5705G,JS-REL,waste,2020-10-31
JS-REL 4,XE-5636Y,JS-REL,waste,2020-10-31
JS-REL 5,XE-5680T,JS-REL,waste,2020-10-31
JS-REL 6,XE-5630M,JS-REL,waste,2020-10-31
JS-REL 7,XE-5598Z,JS-REL,waste,2020-10-31
JS-REL 8,XE-5620S,JS-REL,waste,2020-10-31
JS-REL 9,XE-5639P,JS-REL,waste,2020-10-31
Mechanic / Spare Vehicle XE-5559L,XE-5559L,JS-REL,waste,2020-10-31
Mechanic / Spare Vehicle XE-5610X,XE-5610X,JS-REL,waste,2020-10-31
Mechanic / Spare Vehicle XE-5632H,XE-5632H,JS-REL,waste,2020-10-31
Mechanic / Spare Vehicle XE-5808T,XE-5808T,JS-REL,waste,2020-10-31
JS CRD 1,XE-5609B,JS-Recycle,recycle,2020-10-31
JS CRD 2,XE-5565T,JS-Recycle,recycle,2020-10-31
JS-RFID,XE-5665M,JS-Recycle,recycle,2020-10-31
JS-SE 1,XE-5638S,JS-SE,waste,2020-10-31
JS-SE 2,XE-5577J,JS-SE,waste,2020-10-31
JS-SE 3,XE-5629T,JS-SE,waste,2020-10-31
Side Loader,XE-5748H,Side Loader,recycle,2020-10-31
Mechanic / Spare Vehicle GBK-3174E,GBK-3174E,,,2020-10-31
